From_ID,Origin,To_ID,Destination,Time
KG31,Bukit Dukung,KJ7,Dato' Keramat,29
KG33,Sungai Jernih,KJ7,Dato' Keramat,25
KG34,Stadium Kajang,KJ7,Dato' Keramat,21
KG35,Kajang,KJ7,Dato' Keramat,50
KJ1,Gombak,KJ8,Damai,19
KJ2,Taman Melati,KJ8,Damai,16
KJ3,Wangsa Maju,KJ8,Damai,12
KJ4,Sri Rampai,KJ8,Damai,10
KJ5,Setiawangsa,KJ8,Damai,4
KJ6,Jelatek,KJ8,Damai,2
KJ7,Dato' Keramat,KJ8,Damai,1
KJ8,Damai,KJ8,Damai,0
KJ9,Ampang Park,KJ8,Damai,2
KJ10,KLCC,KJ8,Damai,3
KJ11,Kampung Baru,KJ8,Damai,5
KJ12,Dang Wangi,KJ8,Damai,7
KJ13,Masjid Jamek (KJL),KJ8,Damai,9
KJ14,Pasar Seni (KJL),KJ8,Damai,10
KJ15,KL Sentral (KJL),KJ8,Damai,13
KJ16,Bangsar,KJ8,Damai,15
KJ17,Abdullah Hukum,KJ8,Damai,18
KJ18,Kerinchi,KJ8,Damai,19
KJ19,Universiti,KJ8,Damai,21
KJ20,Taman Jaya,KJ8,Damai,25
KJ21,Asia Jaya,KJ8,Damai,27
KJ22,Taman Paramount,KJ8,Damai,30
KJ23,Taman Bahagia,KJ8,Damai,33
KJ24,Kelana Jaya,KJ8,Damai,35
KJ25,Lembah Subang,KJ8,Damai,38
KJ26,Ara Damansara,KJ8,Damai,40
KJ27,Glenmarie,KJ8,Damai,43
KJ28,Subang Jaya,KJ8,Damai,44
KJ29,SS 15,KJ8,Damai,48
KJ30,SS 18,KJ8,Damai,50
KJ31,USJ 7 (KJL),KJ8,Damai,53
KJ32,Taipan,KJ8,Damai,54
KJ33,Wawasan,KJ8,Damai,57
KJ34,USJ 21,KJ8,Damai,59
KJ35,Alam Megah,KJ8,Damai,62
KJ36,Subang Alam,KJ8,Damai,65
KJ37,Putra Heights (KJL),KJ8,Damai,69
KG4,Sungai Buloh,KJ8,Damai,45
KG5,Kampung Selamat,KJ8,Damai,42
