From_ID,Origin,To_ID,Destination,Fare
KG23,Taman Pertama,KJ7,Dato' Keramat,4
KG24,Taman Midah,KJ7,Dato' Keramat,4.2
KG25,Taman Mutiara,KJ7,Dato' Keramat,4.5
KG26,Taman Connaught,KJ7,Dato' Keramat,4.9
KG27,Taman Suntex,KJ7,Dato' Keramat,5.4
KG28,Sri Raya,KJ7,Dato' Keramat,5.3
KG29,Bandar Tun Hussein Onn,KJ7,Dato' Keramat,5.6
KG30,Batu 11 Cheras,KJ7,Dato' Keramat,5.7
KG31,Bukit Dukung,KJ7,Dato' Keramat,5.6
KG33,Sungai Jernih,KJ7,Dato' Keramat,6.1
KG34,Stadium Kajang,KJ7,Dato' Keramat,6.3
KG35,Kajang,KJ7,Dato' Keramat,5.9
KJ1,Gombak,KJ8,Damai,2.7
KJ2,Taman Melati,KJ8,Damai,2.7
